read12,math12,catholic,female,white,black,hisp,faminc8
42.759998,44.540001,0,1,1,0,0,5
54.299999,43.09,0,0,1,0,0,7
37.5,52.040001,0,1,0,0,1,8
37.169998,42.43,0,0,1,0,0,2
60.299999,54.330002,0,1,1,0,0,12
55.25,60.18,0,1,0,0,0,10
32.599998,32,0,0,1,0,0,10
52.310001,57.75,0,1,1,0,0,9
34.490002,42.34,0,0,0,0,0,11
63.459999,62.299999,0,1,1,0,0,12
57.799999,67.559998,0,0,0,0,0,12
50.130001,62.080002,0,0,1,0,0,12
62.169998,60.150002,0,1,1,0,0,12
40.169998,54.34,0,0,1,0,0,12
64.830002,61.27,0,1,0,0,0,10
58.48,57.119999,0,1,1,0,0,10
55.849998,52.57,0,0,1,0,0,7
56.43,50.029999,0,0,1,0,0,10
44.849998,43.970001,0,1,1,0,0,11
37.779999,34.57,0,1,1,0,0,11
54.16,55.470001,0,0,1,0,0,10
51.34,50.27,0,1,1,0,0,8
66.720001,63.790001,0,1,0,0,0,10
34.549999,36.509998,0,1,0,1,0,2
66.739998,57.610001,0,1,1,0,0,10
59.93,57.830002,0,0,1,0,0,7
58.830002,46.799999,0,1,1,0,0,10
61.880001,63.09,0,0,1,0,0,10
45.599998,50.740002,0,0,1,0,0,4
67.449997,61.900002,0,1,1,0,0,12
63.82,64,0,1,1,0,0,7
49.630001,52.869999,0,1,1,0,0,12
61.07,62.459999,0,1,0,0,0,7
60.040001,65.150002,0,0,1,0,0,11
31.85,35.860001,0,1,1,0,0,7
44.700001,51.209999,0,0,1,0,0,9
63.290001,62.830002,0,0,1,0,0,9
45.950001,52.619999,0,1,1,0,0,7
36.669998,37.48,0,0,1,0,0,5
44.849998,54.5,0,0,1,0,0,5
40.630001,53.860001,0,0,1,0,0,8
58.209999,50.560001,0,1,1,0,0,12
56.09,40.450001,0,1,0,0,0,10
32.369999,50.25,0,1,1,0,0,11
52.5,41.080002,0,1,1,0,0,7
47.029999,50.389999,0,1,1,0,0,10
57.959999,49.02,0,0,1,0,0,9
60.68,60.75,0,0,1,0,0,9
56.98,54.759998,0,0,1,0,0,6
55,54.610001,0,1,1,0,0,11
61.91,66.080002,0,1,1,0,0,9
54.880001,45.810001,0,1,1,0,0,7
46.349998,60.900002,0,1,1,0,0,8
68.089996,62.869999,0,1,1,0,0,10
40.880001,40.09,0,1,1,0,0,7
50.900002,47.689999,0,1,0,0,0,11
49.110001,50.16,0,1,1,0,0,12
59.740002,51.759998,0,0,1,0,0,11
40.470001,49.360001,0,1,1,0,0,9
54.34,52.869999,0,0,1,0,0,11
66.790001,52.049999,0,1,0,0,0,6
48.009998,62.490002,0,1,1,0,0,10
43.540001,35.740002,0,0,1,0,0,5
61.060001,61.82,0,0,1,0,0,11
51.68,56.900002,0,0,1,0,0,8
42.34,44.669998,0,1,0,0,0,11
39.84,42.82,0,1,1,0,0,11
34.34,41.470001,0,0,1,0,0,9
53.099998,42.490002,0,1,1,0,0,9
48.830002,50.880001,0,0,0,0,1,10
39.139999,41.450001,0,0,1,0,0,8
63.080002,60.720001,0,0,1,0,0,11
35.759998,34.98,0,1,1,0,0,9
38.150002,33.07,0,0,1,0,0,11
39.389999,40.400002,0,0,1,0,0,6
39.369999,44.66,0,0,1,0,0,11
62.18,63.040001,0,1,1,0,0,10
50.5,60.169998,0,0,1,0,0,9
45.889999,62.490002,0,0,1,0,0,10
62.240002,59.080002,0,0,1,0,0,10
59.75,64.720001,0,0,1,0,0,9
39.41,36.290001,0,1,0,0,0,9
54.560001,50.529999,0,1,1,0,0,9
40.290001,35.549999,0,1,1,0,0,8
57.400002,61.23,0,1,1,0,0,7
52.290001,49.73,0,1,1,0,0,12
42.139999,50.82,0,1,1,0,0,9
49.48,53.360001,0,1,1,0,0,7
45.950001,59.950001,0,0,1,0,0,6
57.75,53.009998,0,0,1,0,0,9
56.16,62.099998,0,0,1,0,0,11
55.810001,60.880001,0,0,1,0,0,10
49.110001,49.580002,0,0,1,0,0,8
50.27,49.919998,0,0,1,0,0,4
40.389999,49.68,0,0,1,0,0,8
33.639999,34.509998,0,1,1,0,0,10
42.439999,48.610001,0,0,1,0,0,7
37.689999,40.790001,0,1,0,1,0,10
45.150002,34.919998,0,1,1,0,0,11
48.389999,49.779999,0,1,1,0,0,8
47.540001,42.169998,0,1,1,0,0,11
58.459999,52.689999,0,1,1,0,0,10
57.720001,44.889999,0,1,1,0,0,6
57.119999,47.5,0,1,1,0,0,12
44.540001,44.5,0,1,1,0,0,11
40.57,42,0,1,1,0,0,9
37.189999,36.169998,0,1,0,1,0,7
62.189999,64.129997,0,1,1,0,0,10
57.959999,51.740002,0,1,1,0,0,4
31,33.709999,0,0,0,1,0,7
39,41.52,0,1,1,0,0,6
57.610001,44.540001,0,1,1,0,0,10
53.939999,47.990002,0,0,1,0,0,8
44.990002,46.75,0,1,1,0,0,11
29.15,32.459999,0,0,1,0,0,11
54.82,61.5,0,0,0,0,0,5
54.299999,59.880001,0,0,1,0,0,11
42.299999,47.970001,0,0,1,0,0,11
35.150002,35.549999,0,0,1,0,0,11
57.919998,63.52,0,0,1,0,0,10
37.450001,45.18,0,1,1,0,0,12
42.490002,48.720001,0,0,1,0,0,12
59.32,44.98,0,0,1,0,0,10
49.139999,46.540001,0,1,1,0,0,11
37.919998,41.240002,0,0,1,0,0,7
57.959999,46.34,0,1,1,0,0,12
49.810001,62.32,0,0,1,0,0,9
57.759998,52.599998,0,0,1,0,0,11
53.040001,52.439999,0,0,0,0,0,11
49.02,40.490002,0,0,1,0,0,12
49.66,49.5,0,0,1,0,0,11
66.699997,69.349998,0,1,1,0,0,8
30.360001,50.799999,0,0,1,0,0,11
43.040001,39.450001,0,0,1,0,0,12
53.66,43.880001,0,1,1,0,0,10
53.689999,52.25,0,1,0,0,0,12
61.880001,69.230003,0,0,1,0,0,10
48.77,57.110001,0,0,0,0,0,9
57.990002,55.32,0,1,1,0,0,11
61.25,70.93,0,0,1,0,0,11
62.32,55.580002,0,1,1,0,0,11
59.439999,41.380001,0,1,0,1,0,4
36.16,38.279999,0,1,0,0,1,3
52.169998,57.23,0,0,1,0,0,11
56.139999,45.43,0,1,1,0,0,5
56.91,51.189999,0,1,1,0,0,9
43.27,54.169998,0,1,1,0,0,6
47.57,45.740002,0,1,1,0,0,9
33.5,38.880001,0,0,1,0,0,9
62.209999,60.82,0,0,1,0,0,3
56.830002,60.900002,0,1,1,0,0,6
62.830002,63.470001,0,0,1,0,0,6
62.189999,59.110001,0,1,1,0,0,10
35.66,54.25,0,0,1,0,0,7
60.610001,65.239998,0,0,1,0,0,10
57.75,65.800003,0,1,0,0,0,11
52.48,54.029999,0,0,0,0,0,10
37.740002,41.599998,0,0,0,1,0,10
41.709999,53.400002,0,1,0,0,1,3
61.209999,66.480003,0,0,1,0,0,11
64.849998,62.970001,0,1,1,0,0,7
47.720001,54.700001,0,1,1,0,0,9
54.549999,56.709999,0,0,1,0,0,12
60.849998,60.48,0,1,1,0,0,11
59.459999,65.419998,0,1,1,0,0,8
48.290001,51.200001,0,0,1,0,0,12
61.200001,55.700001,0,1,1,0,0,10
39.369999,37.560001,0,1,1,0,0,11
44.57,49.57,0,0,1,0,0,10
38.279999,45.669998,0,1,0,0,1,9
39.779999,46.09,0,0,1,0,0,11
49.93,48.369999,0,1,1,0,0,12
42.099998,39.740002,0,1,0,0,1,3
60.84,56.700001,0,0,0,1,0,8
65.339996,63.540001,0,1,0,1,0,12
61.349998,64.32,0,1,0,1,0,10
62.82,65.129997,0,1,0,1,0,11
66.18,67.519997,0,1,0,0,0,8
60.310001,52.549999,0,1,0,1,0,10
41.700001,47.27,0,0,1,0,0,10
60.060001,53.669998,0,0,1,0,0,12
40.080002,48.98,0,0,0,0,1,9
54.150002,43.279999,0,1,1,0,0,11
47.959999,65.68,0,0,1,0,0,10
33.490002,36.490002,0,0,1,0,0,11
51.240002,51.09,0,1,1,0,0,8
64.550003,62.630001,0,1,1,0,0,8
55.200001,42.150002,0,0,1,0,0,5
46.540001,43.93,0,1,1,0,0,10
42.98,48.73,0,1,1,0,0,10
49.630001,48.029999,0,1,0,0,0,7
56.110001,45.650002,0,0,0,1,0,6
57.419998,53.82,0,0,1,0,0,10
64.309998,64.18,0,1,1,0,0,9
59.709999,65.059998,0,0,1,0,0,12
42.869999,43.57,0,0,1,0,0,7
65.419998,60.830002,0,0,1,0,0,10
50.470001,45.189999,0,1,1,0,0,10
58.41,52.700001,0,1,1,0,0,12
58.709999,61.279999,0,0,1,0,0,11
57.099998,59.220001,0,0,1,0,0,9
64.849998,58.959999,0,0,1,0,0,12
53.439999,51.799999,0,0,1,0,0,11
57.130001,57.98,0,0,1,0,0,6
44.830002,39.82,0,1,1,0,0,10
33.02,40.880001,0,1,1,0,0,12
35.52,31.360001,0,0,1,0,0,10
43.080002,54.59,0,0,1,0,0,11
58.48,41.349998,0,0,1,0,0,11
57.380001,60.740002,0,1,1,0,0,11
53.849998,46.669998,0,1,1,0,0,11
49.450001,55.52,0,0,0,0,1,11
60.07,66.610001,0,0,1,0,0,12
49.450001,66.260002,0,0,1,0,0,10
57.580002,51.990002,0,1,1,0,0,11
58.849998,55.610001,0,1,1,0,0,11
55.23,43.02,0,1,1,0,0,10
50.5,58.610001,0,0,1,0,0,10
56.360001,42.82,0,1,1,0,0,2
52.27,62.439999,0,0,1,0,0,11
53.110001,52.98,0,0,1,0,0,11
54.220001,52.040001,0,1,1,0,0,12
59.32,48.939999,0,1,0,0,0,11
47.34,35.77,0,0,0,1,0,2
61.470001,63.360001,0,0,1,0,0,10
64.25,68.839996,0,1,1,0,0,12
53.759998,50.560001,0,0,1,0,0,12
45.419998,42.369999,0,1,1,0,0,11
50.27,37.830002,0,1,0,1,0,8
35.23,45.18,0,0,0,0,1,10
31.469999,30.99,0,0,1,0,0,9
48.41,43.27,0,1,0,0,1,11
47.689999,56.779999,0,0,1,0,0,11
39.990002,40.02,0,1,0,1,0,11
50.07,48.400002,0,0,1,0,0,8
57.509998,51.849998,0,1,1,0,0,9
41.290001,48.75,0,0,0,1,0,7
57.259998,42.27,0,0,1,0,0,11
57.59,61.880001,0,0,1,0,0,12
33.73,43.66,0,1,1,0,0,10
46.279999,38.66,0,0,1,0,0,12
48.330002,48.439999,0,1,1,0,0,9
64.360001,62.419998,0,1,1,0,0,9
39.029999,42.970001,0,0,1,0,0,8
62.849998,64.32,0,1,1,0,0,12
48.720001,40.66,0,0,1,0,0,9
63.099998,67.589996,0,1,1,0,0,12
46.700001,42.279999,0,0,1,0,0,10
36.34,48.400002,0,1,1,0,0,8
62.57,52.18,0,0,1,0,0,11
59.689999,54.98,0,1,1,0,0,10
54,61.950001,0,1,1,0,0,10
59.459999,48.689999,0,0,0,0,0,6
66.150002,56.599998,0,1,1,0,0,9
32.400002,45.099998,0,0,1,0,0,10
49.32,39.259998,0,1,1,0,0,11
34.439999,47.869999,0,0,1,0,0,8
50.84,55.950001,0,1,0,1,0,4
45.119999,34.599998,0,1,0,1,0,5
59.279999,58.5,0,0,1,0,0,10
40.849998,50.650002,0,0,1,0,0,7
48.52,48.450001,0,0,1,0,0,9
58.549999,58,0,0,1,0,0,11
51.950001,54.52,0,0,1,0,0,12
37.549999,37.009998,0,1,1,0,0,12
54.27,61.869999,0,1,1,0,0,11
57.259998,50.549999,0,1,1,0,0,9
51.119999,47.970001,0,0,0,0,0,11
61.650002,50.450001,0,1,1,0,0,9
49.09,48.709999,0,1,1,0,0,8
48.939999,56.040001,0,0,1,0,0,10
41.59,35.240002,0,1,1,0,0,10
40.150002,35.130001,0,0,1,0,0,10
49.029999,42.209999,0,1,1,0,0,7
57.419998,59.66,0,1,1,0,0,11
56.009998,46.93,0,0,1,0,0,12
44.57,60.119999,0,0,1,0,0,11
54.959999,50.200001,0,1,1,0,0,9
38.290001,51.16,0,0,1,0,0,9
57.110001,54.439999,0,0,1,0,0,11
65.029999,61.48,0,0,1,0,0,9
56.470001,61.32,0,0,1,0,0,8
57.400002,52.619999,0,1,1,0,0,10
39.419998,46.77,0,0,0,1,0,6
63.099998,55.389999,0,0,1,0,0,11
51.540001,53.580002,0,1,1,0,0,12
56.630001,39.049999,0,1,1,0,0,12
40.759998,38.970001,0,0,1,0,0,6
47.330002,47.549999,0,0,1,0,0,11
59.099998,62.639999,0,0,1,0,0,11
58.98,51.59,0,1,1,0,0,11
54.810001,51.759998,0,0,1,0,0,6
45.259998,39.27,0,1,1,0,0,10
57.060001,61.32,0,0,1,0,0,10
58.540001,66.389999,0,0,1,0,0,11
50.919998,45.220001,0,0,1,0,0,12
39.669998,43.080002,0,0,1,0,0,12
65.900002,67.239998,0,1,1,0,0,11
44.16,58.709999,0,0,1,0,0,12
44.110001,45.759998,0,0,0,0,1,10
58,54.169998,0,1,1,0,0,11
56.189999,70.940002,0,0,1,0,0,12
55.779999,64.720001,0,0,1,0,0,10
65.260002,63.66,0,1,1,0,0,10
57.459999,46.869999,0,1,1,0,0,11
62.470001,63.970001,0,1,1,0,0,12
38.93,48.459999,0,0,1,0,0,10
51.939999,39.080002,0,0,1,0,0,12
40.950001,53.599998,0,0,1,0,0,11
54.849998,66.169998,0,0,1,0,0,9
41.470001,47.470001,0,1,1,0,0,10
62.889999,67.019997,0,1,1,0,0,7
58.759998,62.790001,0,0,1,0,0,11
55.080002,54.990002,0,0,1,0,0,9
53.169998,48.630001,0,0,1,0,0,11
65.449997,65.190002,0,0,1,0,0,11
55.209999,51.790001,0,1,1,0,0,10
31.280001,47.23,0,0,1,0,0,4
46.369999,41.98,0,0,0,1,0,12
65.980003,62.419998,0,1,0,0,0,5
61.150002,49.830002,0,0,1,0,0,9
43.75,52.990002,0,1,1,0,0,12
53.950001,56.07,0,0,1,0,0,11
54.759998,48.16,0,1,1,0,0,11
43.779999,42.400002,0,0,1,0,0,7
56.380001,50.59,0,1,1,0,0,11
62.470001,49.099998,0,0,1,0,0,10
66.18,51.330002,0,1,1,0,0,11
67.360001,69.449997,0,1,0,0,0,12
51.23,60.349998,0,0,1,0,0,11
38.75,39,0,1,0,1,0,7
51.759998,52.580002,0,1,1,0,0,7
43.57,47.810001,0,1,1,0,0,10
35.330002,35.290001,0,1,0,1,0,11
52.419998,44.34,0,0,0,1,0,4
48,40.650002,0,1,1,0,0,12
36.459999,51.099998,0,0,0,0,1,8
39.52,39.740002,0,0,0,0,0,11
48.330002,36.93,0,0,0,1,0,6
37.849998,35.860001,0,1,0,1,0,7
59.34,48.790001,0,0,0,1,0,4
47.34,43,0,1,0,0,1,9
56.16,66.669998,0,1,0,0,0,11
49.259998,47.27,0,1,0,0,1,10
68.089996,67.75,0,1,1,0,0,8
50.5,64.300003,0,1,0,0,1,11
40.860001,32.41,0,1,1,0,0,11
38.200001,38.34,0,1,1,0,0,11
44.849998,54.130001,0,1,0,0,0,11
31.73,40.75,0,0,1,0,0,10
61.41,57.07,0,0,1,0,0,11
56.110001,42.029999,0,1,1,0,0,10
29.709999,36.419998,0,1,0,0,1,12
62.09,63.310001,0,0,1,0,0,9
48.450001,36.57,0,1,0,0,0,10
52.91,42.700001,0,1,1,0,0,10
56.150002,51.77,0,0,1,0,0,11
58.349998,69.209999,0,1,1,0,0,9
41.549999,48.139999,0,1,1,0,0,12
58.990002,55.990002,0,1,1,0,0,12
62.43,62.630001,0,1,1,0,0,11
65.050003,65.279999,0,1,1,0,0,11
37.18,45.990002,0,1,1,0,0,11
52.610001,56.5,0,1,1,0,0,12
57.720001,36.939999,0,0,1,0,0,12
57.98,53.810001,0,0,1,0,0,11
43.169998,50.540001,0,1,1,0,0,10
62.23,65.550003,0,0,1,0,0,12
35.799999,51.650002,0,0,1,0,0,11
61.580002,63.720001,0,1,1,0,0,12
31.76,49.799999,0,0,1,0,0,11
56.259998,59.150002,0,1,1,0,0,12
57.119999,57.919998,0,0,1,0,0,12
67.059998,68.440002,0,0,1,0,0,11
53.52,56.599998,0,0,1,0,0,8
62.73,56.450001,0,0,1,0,0,9
37.169998,38.860001,0,0,0,0,1,10
41.130001,41.369999,0,0,0,0,1,11
50.709999,55.900002,0,0,0,0,1,11
59.98,57.380001,0,1,1,0,0,10
40.16,39.389999,0,0,0,0,1,10
64.959999,61.040001,0,1,0,0,1,10
36.459999,44.639999,0,0,0,0,1,3
56.27,50.959999,0,0,1,0,0,11
34.189999,43.549999,0,0,0,1,0,11
60.82,61.18,0,1,1,0,0,12
41.669998,49.389999,0,0,0,0,0,11
68.089996,60.900002,0,1,0,0,0,12
66.900002,70.440002,0,0,0,0,0,11
57.209999,46.790001,0,1,1,0,0,10
44.23,44.23,0,1,0,0,0,12
57.139999,68.809998,0,1,0,0,0,11
54.259998,61.75,0,0,0,0,0,12
62.200001,60.459999,0,1,1,0,0,12
63.93,63.869999,0,0,0,0,0,10
51.169998,39.240002,0,1,1,0,0,11
54.790001,56.32,0,0,1,0,0,11
68.089996,70.349998,0,1,1,0,0,8
56.049999,48.66,0,0,1,0,0,8
50.07,46.029999,0,0,0,0,0,12
49.84,53.619999,0,0,0,0,0,12
53.529999,57.790001,0,1,1,0,0,11
59.310001,58.93,0,0,1,0,0,9
43.880001,41.380001,0,1,1,0,0,6
57.080002,51.360001,0,0,0,1,0,10
61.060001,63.709999,0,0,0,0,1,11
64.93,68.510002,0,0,1,0,0,11
49.049999,43.099998,0,1,0,0,1,8
37.080002,34.810001,0,0,0,0,1,8
33.919998,53.169998,0,0,0,1,0,8
39.27,35.310001,0,1,0,0,1,9
35.5,37.82,0,1,0,0,1,9
36.830002,46.669998,0,1,1,0,0,11
48,48.200001,0,1,1,0,0,10
46.880001,39.98,0,0,1,0,0,8
59.75,53.110001,0,0,0,0,1,9
61.869999,63.029999,0,0,1,0,0,11
62.490002,49.490002,0,1,0,0,1,4
36.080002,35.599998,0,1,1,0,0,5
39.970001,39.369999,0,1,1,0,0,11
38.139999,36.459999,0,0,1,0,0,8
47.970001,61.82,0,0,1,0,0,10
50.529999,52.029999,0,1,1,0,0,11
38.290001,37.09,0,0,1,0,0,5
42.810001,50.380001,0,0,1,0,0,12
36.720001,34.959999,0,0,1,0,0,10
52.07,62.349998,0,0,1,0,0,12
50.169998,42.790001,0,1,1,0,0,12
61.139999,61.73,0,1,1,0,0,10
36.790001,39.869999,0,0,1,0,0,10
50.759998,58.709999,0,0,1,0,0,10
55.369999,48.009998,0,1,1,0,0,10
43.509998,35.740002,0,0,0,0,0,11
33.279999,44.41,0,1,1,0,0,11
61.029999,61.869999,0,0,1,0,0,9
38.470001,37.900002,0,1,1,0,0,11
50.82,48.970001,0,1,1,0,0,10
32.790001,38.52,0,0,1,0,0,10
45.98,55.869999,0,0,1,0,0,10
32.630001,33.759998,0,0,1,0,0,10
63.59,37.939999,0,1,1,0,0,9
64.419998,67.949997,0,1,1,0,0,12
44.25,40.220001,0,0,1,0,0,12
47.32,39.799999,0,1,1,0,0,5
44.610001,45.599998,0,1,1,0,0,11
43.810001,49.77,0,1,1,0,0,11
45.990002,49.41,0,1,0,1,0,9
45.59,34.73,0,0,0,1,0,5
44.82,47.040001,0,0,0,1,0,7
56.669998,46.049999,0,0,1,0,0,10
55.860001,57.02,0,1,1,0,0,11
52.049999,38.290001,0,0,0,0,1,4
36.599998,37.5,0,0,0,0,0,10
59.669998,51.66,0,0,1,0,0,10
43.639999,36.860001,0,0,1,0,0,9
38.18,38.5,0,0,1,0,0,8
40.549999,53.299999,0,1,1,0,0,10
32.650002,45.080002,0,1,1,0,0,11
46.080002,46.759998,0,1,1,0,0,7
39.400002,33.48,0,1,1,0,0,11
62.540001,51.290001,0,0,1,0,0,10
44.82,39.040001,0,0,1,0,0,9
40.990002,32.5,0,0,1,0,0,6
44.799999,44.59,0,1,1,0,0,12
53.57,60.310001,0,0,1,0,0,11
58.75,53.73,0,0,1,0,0,9
48.119999,53.23,0,1,1,0,0,12
67.449997,63.93,0,0,1,0,0,11
39.650002,36.700001,0,1,0,0,0,11
49.009998,45.650002,0,1,0,0,0,10
53.990002,42.880001,0,1,1,0,0,11
38.049999,41.09,0,1,1,0,0,10
59.639999,52.009998,0,0,1,0,0,8
54.389999,50.73,0,1,1,0,0,11
56.98,55.200001,0,1,1,0,0,11
44.689999,53.419998,0,0,0,0,1,12
51.040001,56.459999,0,1,1,0,0,11
65,53.509998,0,1,1,0,0,12
32.48,35.82,0,1,1,0,0,6
61.540001,57.029999,0,0,1,0,0,10
65.349998,62.389999,0,0,1,0,0,11
57.169998,54.990002,0,0,1,0,0,10
49.169998,48.93,0,0,1,0,0,10
39.07,42.16,0,1,1,0,0,7
59.02,62.880001,0,0,1,0,0,11
53.91,53.099998,0,1,1,0,0,11
66.18,64.510002,0,1,1,0,0,12
41.950001,39.040001,0,1,1,0,0,11
55.540001,50.66,0,1,1,0,0,12
34.259998,46.689999,0,1,0,0,0,11
41.110001,36.360001,0,1,1,0,0,12
38.009998,35.130001,0,0,1,0,0,3
60.490002,62.16,0,1,1,0,0,8
55.48,54.110001,0,1,1,0,0,11
51.93,52.07,0,0,1,0,0,10
53.200001,50.549999,0,1,1,0,0,5
65.760002,62.099998,0,1,1,0,0,11
45.540001,51.290001,0,1,1,0,0,8
50.34,45.049999,0,0,1,0,0,12
36.07,31.709999,0,1,1,0,0,4
40.009998,36.970001,0,0,1,0,0,7
36.330002,38.080002,0,1,0,0,0,10
49.759998,38.450001,0,0,1,0,0,12
54.599998,67.150002,0,0,1,0,0,11
55.209999,58.790001,0,1,1,0,0,10
58.98,52.310001,0,1,0,0,0,11
40.509998,40.110001,0,0,1,0,0,10
42.200001,51.509998,0,1,1,0,0,10
36.220001,50.400002,0,0,1,0,0,11
56.619999,62.689999,0,0,0,0,0,11
61.75,50.450001,0,1,1,0,0,11
52.060001,62.080002,0,1,1,0,0,11
30.450001,40.029999,0,1,1,0,0,12
52.27,52.799999,0,1,1,0,0,11
48.959999,44.869999,0,1,1,0,0,10
32.290001,34.849998,0,1,1,0,0,5
65.760002,59.009998,0,1,1,0,0,11
56.290001,52.09,0,1,1,0,0,11
66.260002,61.599998,0,0,1,0,0,12
62.040001,60.880001,0,0,0,0,0,12
50.200001,49.779999,0,0,1,0,0,10
38.68,40.740002,0,0,1,0,0,5
63.810001,63.290001,0,0,1,0,0,10
45.529999,55.959999,0,0,1,0,0,10
39.110001,36.279999,0,1,0,0,0,10
53.439999,49.43,0,1,1,0,0,11
35.060001,32.59,0,1,1,0,0,10
58.77,57.959999,0,0,1,0,0,12
40.310001,48.82,0,0,0,0,0,11
43.369999,51.580002,0,0,0,0,0,12
57.689999,61.41,0,0,1,0,0,9
46.939999,52.169998,0,0,1,0,0,11
39.119999,37.220001,0,1,1,0,0,10
57.369999,44.330002,0,0,1,0,0,10
63.459999,60.91,0,1,1,0,0,12
44.740002,52.220001,0,0,1,0,0,10
40.189999,40.630001,0,0,1,0,0,11
58.82,60.98,0,0,1,0,0,10
54.290001,60.529999,0,0,1,0,0,10
59.099998,59.939999,0,0,1,0,0,7
54.830002,60.900002,0,1,1,0,0,7
59.990002,57.259998,0,1,0,0,0,10
35.759998,34.52,0,0,0,0,1,7
56.240002,42.23,0,1,1,0,0,11
43.68,48.650002,0,0,1,0,0,10
62.650002,53.470001,0,1,1,0,0,9
56.75,52.43,0,0,1,0,0,9
46.209999,42.299999,0,1,1,0,0,8
49.759998,42.34,0,0,1,0,0,9
58.41,57.279999,0,0,1,0,0,10
55.450001,55.099998,0,1,1,0,0,10
56.43,49.48,0,0,1,0,0,12
56.540001,62.290001,0,0,1,0,0,12
58.41,52.509998,0,1,1,0,0,12
42.689999,36.869999,0,1,1,0,0,10
57.689999,51.790001,0,0,1,0,0,12
61.959999,59.830002,0,1,1,0,0,12
63.080002,60.959999,0,1,0,0,1,11
54.990002,56.869999,0,0,1,0,0,12
43.549999,47.470001,0,0,1,0,0,12
49.43,45.950001,0,1,0,0,1,11
55.43,41.740002,0,1,1,0,0,11
46.02,48.380001,0,1,1,0,0,10
49.630001,39.630001,0,0,1,0,0,2
36.490002,48.119999,0,0,1,0,0,9
35.509998,36.689999,0,1,1,0,0,2
38.009998,40.799999,0,0,1,0,0,9
40.889999,55.049999,0,1,0,0,1,10
42.25,49.880001,0,1,1,0,0,11
50.599998,56.27,0,0,1,0,0,6
51.049999,61.700001,0,1,0,0,1,10
31.93,35.32,0,1,1,0,0,9
38.450001,41.049999,0,0,1,0,0,10
39.939999,52.310001,0,0,1,0,0,9
65.339996,66.360001,0,0,1,0,0,10
42.669998,51.139999,0,0,1,0,0,8
43.27,43.880001,0,1,1,0,0,11
59.509998,65.379997,0,1,1,0,0,10
62.689999,41.630001,0,0,1,0,0,10
62.439999,65.629997,0,0,1,0,0,11
52.439999,51.049999,0,1,1,0,0,10
30.5,39.32,0,0,1,0,0,9
57.200001,60.66,0,1,1,0,0,11
51.540001,50.150002,0,0,1,0,0,10
47.77,41.400002,0,1,1,0,0,9
43.950001,33.91,0,1,1,0,0,5
60.77,42.919998,0,0,1,0,0,9
32.439999,38.860001,0,0,1,0,0,10
52.049999,36.880001,0,1,1,0,0,8
55.470001,44.470001,0,1,0,1,0,4
43.02,36.130001,0,0,1,0,0,7
52.209999,46.669998,0,0,1,0,0,4
42.759998,51.889999,0,0,1,0,0,7
50.310001,57.380001,0,0,1,0,0,10
36.57,35.66,0,1,1,0,0,10
38.330002,45.09,0,0,1,0,0,9
51.200001,62.130001,0,0,1,0,0,11
58.02,57.23,0,0,1,0,0,9
